1442,bitcoin,Bitcoin,40:27.6,BTC
1443,ethereum,Ethereum,40:27.6,ETH
1444,ripple,Ripple,40:27.6,XRP
1445,bitcoin-cash,Bitcoin Cash,40:27.6,BCH
1446,cardano,Cardano,40:27.6,ADA
1447,nem,Nem,40:27.6,XEM
1448,litecoin,Litecoin,40:27.6,LTC
1449,neo,Neo,40:27.6,NEO
1450,stellar,Stellar,40:27.6,XLM
1451,iota,Iota,40:27.6,MIOTA
1452,eos,Eos,40:27.6,EOS
1453,dash,Dash,40:27.6,DASH
1454,monero,Monero,40:27.6,XMR
1455,tron,Tron,40:27.6,TRX
1456,bitcoin-gold,Bitcoin Gold,40:27.6,BTG
1457,ethereum-classic,Ethereum Classic,40:27.6,ETC
1458,qtum,Qtum,40:27.6,QTUM
1459,icon,Icon,40:27.6,ICX
1460,lisk,Lisk,40:27.6,LSK
1461,raiblocks,Raiblocks,40:27.6,XRB
1462,omisego,Omisego,40:27.6,OMG
1463,ardor,Ardor,40:27.6,ARDR
1464,stratis,Stratis,40:27.6,STRAT
1465,zcash,Zcash,40:27.6,ZEC
1466,binance-coin,Binance Coin,40:27.6,BNB
1467,verge,Verge,40:27.6,XVG
1468,siacoin,Siacoin,40:27.6,SC
1469,bitconnect,Bitconnect,40:27.6,BCC
1470,populous,Populous,40:27.6,PPT
1471,bytecoin-bcn,Bytecoin Bcn,40:27.6,BCN
1472,vechain,Vechain,40:27.6,VEN
1473,status,Status,40:27.6,SNT
1474,tether,Tether,40:27.6,USDT
1475,bitshares,Bitshares,40:27.6,BTS
1476,steem,Steem,40:27.6,STEEM
1477,dogecoin,Dogecoin,40:27.6,DOGE
1478,waves,Waves,40:27.6,WAVES
1479,kucoin-shares,Kucoin Shares,40:27.6,KCS
1480,augur,Augur,40:27.6,REP
1481,digibyte,Digibyte,40:27.6,DGB
1482,0x,0x,40:27.6,ZRX
1483,komodo,Komodo,40:27.6,KMD
1484,dentacoin,Dentacoin,40:27.6,DCN
1485,dragonchain,Dragonchain,40:27.6,DRGN
1486,veritaseum,Veritaseum,40:27.6,VERI
1487,golem-network-tokens,Golem Network Tokens,40:27.6,GNT
1488,qash,Qash,40:27.6,QASH
1489,electroneum,Electroneum,40:27.6,ETN
1490,smartcash,Smartcash,40:27.6,SMART
1491,ark,Ark,40:27.6,ARK
1492,wax,Wax,40:27.6,WAX
1493,gas,Gas,40:27.6,GAS
1494,hshare,Hshare,40:27.6,HSR
1495,decred,Decred,40:27.6,DCR
1496,loopring,Loopring,40:27.6,LRC
1497,pivx,Pivx,40:27.6,PIVX
1498,kyber-network,Kyber Network,40:27.6,KNC
1499,basic-attention-token,Basic Attention Token,40:27.6,BAT
1500,walton,Walton,40:27.6,WTC
1501,byteball,Byteball,40:27.6,GBYTE
1502,zclassic,Zclassic,40:27.6,ZCL
1503,salt,Salt,40:27.6,SALT
1504,dent,Dent,40:27.6,DENT
1505,bytom,Bytom,40:27.6,BTM
1506,aion,Aion,40:27.6,AION
1507,funfair,Funfair,40:27.6,FUN
1508,factom,Factom,40:27.6,FCT
1509,ethos,Ethos,40:27.6,ETHOS
1510,experience-points,Experience Points,40:27.6,XP
1511,reddcoin,Reddcoin,40:27.6,RDD
1512,gxshares,Gxshares,40:27.6,GXS
1513,syscoin,Syscoin,40:27.6,SYS
1514,monacoin,Monacoin,40:27.6,MONA
1515,power-ledger,Power Ledger,40:27.6,POWR
1516,medibloc,Medibloc,40:27.6,MED
1517,aeternity,Aeternity,40:27.6,AE
1518,substratum,Substratum,40:27.6,SUB
1519,enigma-project,Enigma Project,40:27.6,ENG
1520,maidsafecoin,Maidsafecoin,40:27.6,MAID
1521,nxt,Nxt,40:27.6,NXT
1522,kin,Kin,40:27.6,KIN
1523,request-network,Request Network,40:27.6,REQ
1524,nexus,Nexus,40:27.6,NXS
1525,digixdao,Digixdao,40:27.6,DGD
1526,gamecredits,Gamecredits,40:27.6,GAME
1527,rchain,Rchain,40:27.6,RHOC
1528,nebulas-token,Nebulas Token,40:27.6,NAS
1529,particl,Particl,40:27.6,PART
1530,iconomi,Iconomi,40:27.6,ICN
1531,tenx,Tenx,40:27.6,PAY
1532,bancor,Bancor,40:27.6,BNT
1533,gnosis-gno,Gnosis Gno,40:27.6,GNO
1534,zcoin,Zcoin,40:27.6,XZC
1535,civic,Civic,40:27.6,CVC
1536,aelf,Aelf,40:27.6,ELF
1537,bitcore,Bitcore,40:27.6,BTX
1538,digitalnote,Digitalnote,40:27.6,XDN
1539,cobinhood,Cobinhood,40:27.6,COB
1540,chainlink,Chainlink,40:27.6,LINK
1541,emercoin,Emercoin,40:27.6,EMC
1542,bitcoindark,Bitcoindark,40:27.6,BTCD
1543,raiden-network-token,Raiden Network Token,40:27.6,RDN
1544,paccoin,Paccoin,40:27.6,PAC
1545,xplay,Xplay,40:27.6,XPA
1546,quantstamp,Quantstamp,40:27.6,QSP
1547,neblio,Neblio,40:27.6,NEBL
1548,santiment,Santiment,40:27.6,SAN
1549,cryptonex,Cryptonex,40:27.6,CNX
1550,blockv,Blockv,40:27.6,VEE
1551,storm,Storm,40:27.6,STORM
1552,rlc,Rlc,40:27.6,RLC
1553,pillar,Pillar,40:27.6,PLR
1554,skycoin,Skycoin,40:27.6,SKY
1555,storj,Storj,40:27.6,STORJ
1556,nav-coin,Nav Coin,40:27.6,NAV
1557,vertcoin,Vertcoin,40:27.6,VTC
1558,poet,Poet,40:27.6,POE
1559,blocknet,Blocknet,40:27.6,BLOCK
1560,appcoins,Appcoins,40:27.6,APPC
1561,edgeless,Edgeless,40:27.6,EDG
1562,bridgecoin,Bridgecoin,40:27.6,BCO
1563,dew,Dew,40:27.6,DEW
1564,paypie,Paypie,40:27.6,PPP
1565,enjin-coin,Enjin Coin,40:27.6,ENJ
1566,red-pulse,Red Pulse,40:27.6,RPX
1567,monaco,Monaco,40:27.6,MCO
1568,ethlend,Ethlend,40:27.6,LEND
1569,revain,Revain,40:27.6,R
1570,vibe,Vibe,40:27.6,VIBE
1571,time-new-bank,Time New Bank,40:27.6,TNB
1572,aragon,Aragon,40:27.6,ANT
1573,ubiq,Ubiq,40:27.6,UBQ
1574,singulardtv,Singulardtv,40:27.6,SNGLS
1575,xtrabytes,Xtrabytes,40:27.6,XBY
1576,sirin-labs-token,Sirin Labs Token,40:27.6,SRN
1577,deepbrain-chain,Deepbrain Chain,40:27.6,DBC
1578,achain,Achain,40:27.6,ACT
1579,ripio-credit-network,Ripio Credit Network,40:27.6,RCN
1580,simple-token,Simple Token,40:27.6,OST
1581,bitbay,Bitbay,40:27.6,BAY
1582,peercoin,Peercoin,40:27.6,PPC
1583,airswap,Airswap,40:27.6,AST
1584,sonm,Sonm,40:27.6,SNM
1585,spankchain,Spankchain,40:27.6,SPANK
1586,einsteinium,Einsteinium,40:27.6,EMC2
1587,centra,Centra,40:27.6,CTR
1588,dynamic-trading-rights,Dynamic Trading Rights,40:27.6,DTR
1589,attention-token-of-media,Attention Token Of Media,40:27.6,ATM
1590,wabi,Wabi,40:27.6,WABI
1591,gulden,Gulden,40:27.6,NLG
1592,naga,Naga,40:27.6,NGC
1593,adx-net,Adx Net,40:27.6,ADX
1594,quantum-resistant-ledger,Quantum Resistant Ledger,40:27.6,QRL
1595,library-credit,Library Credit,40:27.6,LBC
1596,cybermiles,Cybermiles,40:27.6,CMT
1597,streamr-datacoin,Streamr Datacoin,40:27.6,DATA
1598,supernet-unity,Supernet Unity,40:27.6,UNITY
1599,unikoin-gold,Unikoin Gold,40:27.6,UKG
1600,metaverse,Metaverse,40:27.6,ETP
1601,zencash,Zencash,40:27.6,ZEN
1602,decentraland,Decentraland,40:27.6,MANA
1603,counterparty,Counterparty,40:27.6,XCP
1604,triggers,Triggers,40:27.6,TRIG
1605,modum,Modum,40:27.6,MOD
1606,viacoin,Viacoin,40:27.6,VIA
1607,burst,Burst,40:27.6,BURST
1608,wings,Wings,40:27.6,WINGS
1609,cindicator,Cindicator,40:27.6,CND
1610,firstblood,Firstblood,40:27.6,1ST
1611,wagerr,Wagerr,40:27.6,WGR
1612,district0x,District0x,40:27.6,DNT
1613,nuls,Nuls,40:27.6,NULS
1614,melon,Melon,40:27.6,MLN
1615,lamden,Lamden,40:27.6,TAU
1616,hempcoin,Hempcoin,40:27.6,THC
1617,amber,Amber,40:27.6,AMB
1618,voxels,Voxels,40:27.6,VOX
1619,utrust,Utrust,40:27.6,UTK
