Date,Open,High,Low,Close,Volume,Open.Interest
01-03-2018 09:15:00,10498,10509.9,10476.15,10509.8,175200,21291525
01-03-2018 09:16:00,10509,10525,10508.65,10515.9,149850,21369450
01-03-2018 09:17:00,10515.9,10520.3,10513.95,10519.95,108900,21369450
01-03-2018 09:18:00,10519.5,10520,10516.1,10517,73575,21369450
01-03-2018 09:19:00,10516.65,10517,10512.45,10513.05,72150,21468375
01-03-2018 09:20:00,10513,10520,10513,10519.45,76575,21468375
01-03-2018 09:21:00,10520,10523.9,10518,10522,126300,21468375
01-03-2018 09:22:00,10522,10523.9,10520,10521.9,52125,21584925
01-03-2018 09:23:00,10521.55,10527.2,10521.55,10524.65,64800,21584925
01-03-2018 09:24:00,10524.7,10525.9,10520.35,10525.45,51600,21584925
01-03-2018 09:25:00,10525.45,10529.9,10525.45,10528.35,76650,21666900
01-03-2018 09:26:00,10528.3,10530,10522.35,10523.4,62850,21666900
01-03-2018 09:27:00,10522.05,10524,10518.35,10519.2,47550,21666900
01-03-2018 09:28:00,10519.2,10520.15,10514,10520.15,42000,21715575
01-03-2018 09:29:00,10520.95,10521,10513.35,10518.2,57675,21715575
01-03-2018 09:30:00,10517,10521.45,10516.95,10519,19350,21715575
01-03-2018 09:31:00,10519,10520.95,10517,10518.95,18525,21777975
01-03-2018 09:32:00,10519,10519.85,10517,10517.9,12075,21777975
01-03-2018 09:33:00,10518,10520,10518,10519.25,13275,21777975
01-03-2018 09:34:00,10519.25,10522.9,10517.15,10522.9,22800,21803850
01-03-2018 09:35:00,10523.35,10524.95,10521.8,10522.5,19800,21803850
01-03-2018 09:36:00,10522.55,10523.95,10521.15,10523.95,18000,21803850
01-03-2018 09:37:00,10523.85,10524.7,10521.8,10522,28950,21845850
01-03-2018 09:38:00,10521,10523.4,10518.15,10518.55,26775,21845850
01-03-2018 09:39:00,10518.55,10518.85,10514,10514.85,23925,21845850
01-03-2018 09:40:00,10513.3,10514.75,10506.55,10507.3,50625,21884175
01-03-2018 09:41:00,10507.4,10508.05,10502.3,10505,64725,21884175
01-03-2018 09:42:00,10505,10505,10499,10502,56700,21884175
01-03-2018 09:43:00,10501.45,10507.95,10500.3,10506.15,28725,21907725
01-03-2018 09:44:00,10506.45,10513.5,10506.4,10512,27300,21907725
01-03-2018 09:45:00,10512,10513.45,10507.05,10508.1,22275,21907725
01-03-2018 09:46:00,10508.1,10508.9,10506.55,10507.2,10125,21935475
01-03-2018 09:47:00,10507.45,10507.45,10504,10504.7,13050,21935475
01-03-2018 09:48:00,10504.5,10504.55,10498.9,10499.35,50775,21935475
01-03-2018 09:49:00,10499.6,10499.65,10493.35,10497.1,62700,21953250
01-03-2018 09:50:00,10497.1,10498.4,10492.15,10496,47400,21953250
01-03-2018 09:51:00,10496,10500.35,10495.45,10499,38850,21953250
01-03-2018 09:52:00,10499,10499,10495.8,10497.9,26250,21998700
01-03-2018 09:53:00,10496.95,10497.6,10494.35,10494.35,28500,21998700
01-03-2018 09:54:00,10495.85,10498,10492.55,10494,25350,21998700
01-03-2018 09:55:00,10494,10496,10492.3,10494.55,16200,22020225
01-03-2018 09:56:00,10494.6,10499.9,10494.1,10499.9,48150,22020225
01-03-2018 09:57:00,10499.65,10501.9,10499.4,10501.7,37725,22020225
01-03-2018 09:58:00,10501.5,10502.25,10498,10499.85,23775,22070400
01-03-2018 09:59:00,10499.9,10502.3,10499.3,10501.3,22350,22070400
01-03-2018 10:00:00,10500.55,10502,10498,10499.25,15525,22070400
01-03-2018 10:01:00,10499.25,10504.8,10499.25,10501.5,33375,22096500
01-03-2018 10:02:00,10504.45,10507.05,10503.1,10507,16500,22096500
01-03-2018 10:03:00,10505.85,10507.8,10501.4,10501.45,29625,22096500
01-03-2018 10:04:00,10501.45,10501.45,10498.35,10499,11175,22121325
01-03-2018 10:05:00,10499,10499.5,10496,10496,8325,22121325
01-03-2018 10:06:00,10496,10499.5,10495.4,10498,12150,22121325
01-03-2018 10:07:00,10497.95,10498.4,10494.1,10496.8,22500,22130100
01-03-2018 10:08:00,10496.45,10501.85,10495,10497.2,71850,22130100
01-03-2018 10:09:00,10497.2,10497.65,10486.8,10486.8,63375,22130100
01-03-2018 10:10:00,10487,10487,10470,10486.05,280950,22172100
01-03-2018 10:11:00,10486.9,10490.5,10486.05,10490.5,42225,22172100
01-03-2018 10:12:00,10490.5,10490.5,10485,10486.9,18825,22172100
01-03-2018 10:13:00,10486.9,10486.9,10482,10482,22575,22185300
01-03-2018 10:14:00,10482,10487.15,10481.5,10487.15,12375,22185300
01-03-2018 10:15:00,10487.15,10488.95,10486.2,10486.2,10425,22185300
01-03-2018 10:16:00,10486.9,10486.9,10483.35,10483.5,17925,22199700
01-03-2018 10:17:00,10483.3,10487.3,10482.25,10487,13050,22199700
01-03-2018 10:18:00,10487.2,10491.5,10486.25,10491.5,14475,22199700
01-03-2018 10:19:00,10491.5,10494,10488.3,10490,21075,22209675
01-03-2018 10:20:00,10490.45,10493.3,10489,10492.4,11775,22209675
01-03-2018 10:21:00,10492.4,10493,10490.05,10490.25,9900,22209675
01-03-2018 10:22:00,10490.25,10490.35,10488.25,10488.25,6450,22216950
01-03-2018 10:23:00,10489,10492.9,10489,10491.2,6750,22216950
