,0
0,1442
1,1443
2,1444
3,1445
4,1446
5,1448
6,1447
7,1449
8,1450
9,1451
10,1453
11,1452
12,1454
13,1455
14,1456
15,1457
16,1459
17,1458
18,1460
19,1461
20,1474
21,1462
22,1465
23,1468
24,1463
25,1470
26,1464
27,1466
28,1472
29,1471
30,1467
31,1473
32,1479
33,1476
34,1475
35,1478
36,1477
37,1482
38,1490
39,1480
40,1485
41,1489
42,1486
43,1481
44,1483
45,1503
46,1488
47,1487
48,1491
49,1495
50,1484
51,1493
52,1500
53,1497
54,1509
55,1499
56,1492
57,1494
58,1496
59,1501
60,1527
61,1547
62,1498
63,1502
64,1507
65,1508
66,1504
67,1506
68,1514
69,1524
70,1517
71,1525
72,1522
73,1505
74,1520
75,1513
76,1523
77,1510
78,1512
79,1515
80,1518
81,1521
82,1511
83,1536
84,1534
85,1529
86,1519
87,1526
88,1532
89,1546
90,1516
91,1537
92,1541
93,1531
94,1528
95,1549
96,1540
97,1533
98,1535
99,1530
100,1545
101,1538
102,1542
103,1554
104,1543
105,1544
106,1553
107,1539
108,1556
109,1558
110,1562
111,1559
112,1563
113,1557
114,1576
115,1564
116,2547
117,1550
118,1555
119,1548
120,1561
121,1583
122,1552
123,1565
124,1569
125,1577
126,1571
127,1567
128,1566
129,1588
130,1573
131,1568
132,1575
133,1594
134,1560
135,1551
136,1619
137,1580
138,1578
139,2542
140,1585
141,1590
142,1582
143,1579
144,1570
145,1601
146,1469
147,1591
148,1584
149,1603
150,1574
151,1586
152,1581
153,1646
154,1598
155,1625
156,1572
157,1593
158,1596
159,2566
160,1605
161,1602
162,1597
163,1621
164,1589
165,1599
166,1595
167,1613
168,1608
169,1604
170,1606
171,1612
172,1622
173,1607
174,1609
175,1592
176,2883
177,1600
178,1617
179,1615
180,1611
181,1587
182,1626
183,1629
184,2575
185,1623
186,1614
187,1627
188,1633
189,1610
190,1616
191,1624
192,1620
193,1640
194,1669
195,1637
196,1628
197,1636
198,1641
199,1635
200,1645
201,1659
202,1664
203,1618
204,1644
205,1639
206,1754
207,2546
208,1648
209,1655
210,1631
211,2570
212,1634
213,1649
214,1632
215,1658
216,1638
217,1661
218,1647
219,1652
220,1654
221,1687
222,1660
223,1679
224,1651
225,1673
226,1690
227,1650
228,1665
229,1657
230,1663
231,1688
232,1670
233,1653
234,1642
235,1684
236,1676
237,1662
238,1696
239,1680
240,1686
241,2660
242,1681
243,1643
244,1678
245,1677
246,1708
247,1668
248,1694
249,1656
250,1685
251,1701
252,1683
253,1675
254,1666
255,1672
256,1713
257,1691
258,1674
259,1671
260,1699
261,1724
262,1820
263,1692
264,1714
265,1689
266,1700
267,1698
268,1693
269,1703
270,1707
271,1715
272,1682
273,1755
274,1721
275,1705
276,1706
277,1695
278,1867
279,1741
280,1711
281,1719
282,1709
283,1720
284,1717
285,1704
286,1697
287,1702
288,1733
289,1718
290,1722
291,1738
292,1710
293,1712
294,1727
295,1729
296,1716
297,1750
298,1744
299,1843
300,1732
301,1730
302,1746
303,1743
304,1728
305,1723
306,1776
307,1735
308,1731
309,1745
310,1726
311,1753
312,1740
313,1762
314,1736
315,1757
316,1742
317,1747
318,1725
319,1752
320,1737
321,1759
322,1773
323,1765
324,1768
325,1764
326,1814
327,1806
328,1751
329,1819
330,1748
331,1763
332,1767
333,1766
334,1813
335,1739
336,1794
337,1890
338,1809
339,1780
340,1775
341,1793
342,1777
343,1758
344,1749
345,1785
346,1771
347,1792
348,1803
